record_id,n_stems,stem_diameter_1_cm,stem_diameter_2_cm,stem_diameter_3_cm,stem_diameter_4_cm,stem_diameter_5_cm,height_m,life_stage,physiological_condition,classification,county,latin_name_clean,common_name_clean,generic_name_clean,genus,species,combined_stem_diameter_cm,is_multistem,crown_radius_n_m,crown_radius_s_m,crown_radius_e_m,crown_radius_w_m,crown_radius_se_m,crown_radius_nw_m,crown_radius_ne_m,crown_radius_sw_m,crown_radius_minimum_bounding_circle,crown_radius_maximum,data_contributor_id
a2b3a442-9864-448e-9aec-447e5778fc1a,1,110,,,,,8,ancient,fair,urban,essex,quercus robur,english oak,oak,quercus,robur,110,FALSE,2,2,2,2,,,,,2,2,C6
e51b4fe5-05d1-49b9-a685-a39a6d4bd95a,1,130,,,,,5,ancient,good,urban,essex,salix alba,white willow,willow,salix,alba,130,FALSE,2,2,2,2,,,,,2,2,C6
b4aa7ba2-19fe-47a2-bbcc-b294cd8581dc,1,110,,,,,10,ancient,fair,urban,suffolk,quercus robur,english oak,oak,quercus,robur,110,FALSE,2,4,2,3,,,,,3,4,C6
047a2af3-7c19-4890-9e73-80024a2c246a,1,160,,,,,11,ancient,fair,urban,suffolk,quercus robur,english oak,oak,quercus,robur,160,FALSE,3,4,3,3,,,,,3.5,4,C6
fa0dca8a-6e45-4262-a09d-2207db1f8997,1,130,,,,,4,ancient,fair,rural,suffolk,quercus robur,english oak,oak,quercus,robur,130,FALSE,1,3,4,4,,,,,4,4,C6
9fb1e0ab-f00e-4d70-bcaf-cdb3a4c37c5c,2,110,65,,,,9,ancient,fair,urban,suffolk,fraxinus excelsior,european ash,ash,fraxinus,excelsior,127.8,TRUE,3,5,5,3,,,,,4,5,C6
8ff9add0-116d-4ac5-a9d4-699d598619cd,1,85,,,,,12,ancient,fair,rural,staffordshire,quercus robur,english oak,oak,quercus,robur,85,FALSE,,,,,5,4,4,4,4.5,5,C6
3310104a-6068-47d5-9550-3f41fd9bb381,1,90,,,,,12,ancient,fair,urban,essex,quercus robur,english oak,oak,quercus,robur,90,FALSE,5,5,5,5,,,,,5,5,C6
6310fffb-59e5-4337-91ca-759c8d4e5e5c,1,100,,,,,17,ancient,fair,urban,essex,quercus robur,english oak,oak,quercus,robur,100,FALSE,5,5,5,5,,,,,5,5,C6
f2c3085b-a328-441f-8da1-789b6a9e012b,1,60,,,,,15,ancient,fair,urban,essex,fraxinus excelsior,european ash,ash,fraxinus,excelsior,60,FALSE,5,5,5,5,,,,,5,5,C6
a113adaa-ae6a-4936-a96d-0e67197b87d1,1,90,,,,,20,ancient,good,urban,essex,fraxinus excelsior,european ash,ash,fraxinus,excelsior,90,FALSE,5,5,5,5,,,,,5,5,C6
2d908f5a-bd5a-4373-b6f4-ac1a5380ca6f,1,91,,,,,12,ancient,good,urban,suffolk,quercus robur,english oak,oak,quercus,robur,91,FALSE,8,3,5,3,,,,,5.5,8,C6
