Timestamp,Qs_in_Avg,T1_Avg,air_pressure,RH,wind_speed,wind_dir
"YYYY-MM-DD HH:MM:SS UTC","W m-2",°C,Pa,%,"m s-1",deg_from_north
"2023-09-12 00:00:00",-3.635,18.48,101275,0.0168348,1.97677,185.476
"2023-09-12 00:01:00",-2.932,18.48,NaN,NaN,NaN,NaN
"2023-09-12 00:02:00",-3.259,18.47,NaN,NaN,NaN,NaN
"2023-09-12 00:03:00",-2.954,18.47,NaN,NaN,NaN,NaN
"2023-09-12 00:04:00",-3.019,18.43,NaN,NaN,NaN,NaN
"2023-09-12 00:05:00",-3.464,18.43,NaN,NaN,NaN,NaN
"2023-09-12 00:06:00",-2.548,18.42,NaN,NaN,NaN,NaN
"2023-09-12 00:07:00",-3.33,18.42,NaN,NaN,NaN,NaN
"2023-09-12 00:08:00",-2.722,18.41,NaN,NaN,NaN,NaN
"2023-09-12 00:09:00",-3.497,18.4,NaN,NaN,NaN,NaN
"2023-09-12 00:10:00",-3.296,18.4,NaN,NaN,NaN,NaN
"2023-09-12 00:11:00",-3.492,18.38,NaN,NaN,NaN,NaN
"2023-09-12 00:12:00",-3.231,18.39,NaN,NaN,NaN,NaN
"2023-09-12 00:13:00",-2.679,18.39,NaN,NaN,NaN,NaN
"2023-09-12 00:14:00",-3.06,18.39,NaN,NaN,NaN,NaN
"2023-09-12 00:15:00",-2.887,18.38,NaN,NaN,NaN,NaN
"2023-09-12 00:16:00",-3.027,18.38,NaN,NaN,NaN,NaN
"2023-09-12 00:17:00",-3.097,18.36,NaN,NaN,NaN,NaN
"2023-09-12 00:18:00",-3.492,18.35,NaN,NaN,NaN,NaN
"2023-09-12 00:19:00",-3.333,18.34,NaN,NaN,NaN,NaN
"2023-09-12 00:20:00",-3.528,18.32,NaN,NaN,NaN,NaN
"2023-09-12 00:21:00",-3.129,18.32,NaN,NaN,NaN,NaN
"2023-09-12 00:22:00",-3.869,18.31,NaN,NaN,NaN,NaN
"2023-09-12 00:23:00",-3.393,18.29,NaN,NaN,NaN,NaN
"2023-09-12 00:24:00",-3.186,18.28,NaN,NaN,NaN,NaN
"2023-09-12 00:25:00",-3.375,18.27,NaN,NaN,NaN,NaN
