typology,location,time,mean,median,min,max,area_m2_bin_0_-inf_15.0,percent_bin_0_-inf_15.0,area_m2_bin_1_15.0_20.0,percent_bin_1_15.0_20.0,area_m2_bin_2_20.0_25.0,percent_bin_2_20.0_25.0,area_m2_bin_3_25.0_30.0,percent_bin_3_25.0_30.0,area_m2_bin_4_30.0_35.0,percent_bin_4_30.0_35.0,area_m2_bin_5_35.0_40.0,percent_bin_5_35.0_40.0,area_m2_bin_6_40.0_45.0,percent_bin_6_40.0_45.0,area_m2_bin_7_45.0_50.0,percent_bin_7_45.0_50.0,area_m2_bin_8_50.0_inf,percent_bin_8_50.0_inf
historisch,0,morning,32.84969,33.410294,21.554369,42.408382,0.0,0.0,0.0,0.0,12140.0,6.4432835801091475,41075.0,21.800483777016744,65070.75,34.536185751267496,59910.75,31.79752485560331,10216.75,5.422522036003306,0.0,0.0,0.0,0.0
historisch,0,afternoon,52.05261,54.310863,27.980782,67.80517,0.0,0.0,0.0,0.0,0.0,0.0,802.5,0.42592545906405205,15101.75,8.015227166879187,16223.5,8.61059400015657,19219.25,10.2005830269368,21753.75,11.545764430049372,115312.5,61.201905916914015
historisch,0,evening,32.9208,29.211708,26.340084,61.84346,0.0,0.0,0.0,0.0,0.0,0.0,114779.25,60.918884420283604,34193.0,18.147874419659978,559.75,0.2970863248736487,16542.0,8.779637313193208,12554.75,6.663411410821691,9784.5,5.193106111167872
historisch,0,12:00,52.43645,56.78125,27.695044,64.31725,0.0,0.0,0.0,0.0,0.0,0.0,2082.25,1.1051505135652613,19707.25,10.459588165906592,17640.5,9.362664249993035,33.5,0.01778006589239345,2679.5,1.422139897273679,146270.25,77.63267710736905
historisch,1,morning,32.50155,33.119663,21.470652,42.720158,0.0,0.0,0.0,0.0,15359.0,10.089537335689464,39904.5,26.21381226720621,38198.0,25.092789058445607,48217.5,31.67473575646896,10548.0,6.929125582189756,0.0,0.0,0.0,0.0
historisch,1,afternoon,51.664474,53.59311,27.943611,67.77329,0.0,0.0,0.0,0.0,0.0,0.0,1283.0,0.8428202618457961,14657.0,9.628383926635879,13769.75,9.045537256859822,14187.25,9.319798721645963,18977.25,12.46641528769535,89352.75,58.69704454531719
historisch,1,evening,30.690434,27.494755,25.171753,55.502552,0.0,0.0,0.0,0.0,0.0,0.0,113931.5,74.84316185696362,5653.5,3.71386153573282,17352.0,11.398766316093727,2997.0,1.968770323267226,5873.75,3.8585467755391623,6419.25,4.21689319240345
historisch,1,12:00,51.39259,57.03421,27.559875,64.421326,0.0,0.0,0.0,0.0,0.0,0.0,2869.25,1.8848495996111072,24449.75,16.061375445880167,10074.5,6.618076950869425,7774.75,5.107339696637259,1847.0,1.213319581940129,105211.75,69.11503872506192
historisch,2,morning,32.029083,32.301327,21.46673,42.765423,0.0,0.0,0.0,0.0,14165.0,9.369718577707808,45535.75,30.120519782905635,39449.75,26.09481506960315,42616.25,28.18935893662128,9411.75,6.225587633162124,0.0,0.0,0.0,0.0
historisch,2,afternoon,48.94411,49.418083,27.940252,67.86962,0.0,0.0,0.0,0.0,0.0,0.0,1189.75,0.7869835988583032,21367.75,14.134119600339995,18018.75,11.91885750950036,18260.5,12.078767814206385,19762.25,13.0721299655705,72579.5,48.009141511524454
