typology,stat,time,with_trees_avg,without_trees_avg,with_trees_std,without_trees_std
historisch,mean,morning,31.9869305,34.012409166666664,0.724351060695504,1.0210516932483724
historisch,mean,afternoon,49.7696075,51.80953266666666,1.8399669224429822,2.0576953627556893
historisch,mean,evening,31.34208266666667,32.35989033333333,1.550413021890963,1.911668233883345
tuindorp,mean,morning,35.11366666666667,37.760116333333336,0.8274210855122469,0.2661492858729238
tuindorp,mean,afternoon,56.392269,58.57008716666667,0.4743961558157915,0.5497407527503917
tuindorp,mean,evening,36.5902575,38.525224,2.728615525202021,2.8064276164797826
vinex,mean,morning,35.70725766666667,38.31395866666667,0.7092265261375008,0.3752174909044974
vinex,mean,afternoon,57.16829416666667,59.224041666666665,0.8035787010523409,0.4700402619608951
vinex,mean,evening,38.071647999999996,40.16923916666667,3.0278256753996255,3.097373369688868
volkswijk,mean,morning,33.83613316666666,36.23153683333334,0.8529118121354445,0.7993068089787342
volkswijk,mean,afternoon,53.55328466666666,55.71205866666668,1.61690243342555,1.3125751514188682
volkswijk,mean,evening,32.184849166666666,33.66860616666666,1.7419158754470796,1.9396066713809188
bloemkool,mean,morning,34.79545616666667,38.60658566666667,0.8242737097567576,0.35660456170591437
bloemkool,mean,afternoon,55.92993966666666,59.69597833333333,1.3454452642336157,0.5693807556968064
bloemkool,mean,evening,37.325625333333335,40.82718466666667,3.0899294072699894,3.186859958074259
stedelijk,mean,morning,31.95170125,35.42094624999999,0.07565962581357392,0.3086885331671993
stedelijk,mean,afternoon,50.40801499999999,54.31621,0.5029474177327091,1.136699887966916
stedelijk,mean,evening,30.20106975,32.174386,0.9299846709082086,1.435539813294636
historisch,median,morning,32.1642285,34.99459916666667,1.182798897861298,2.0275242663438995
historisch,median,afternoon,50.39605633333334,52.62101466666667,2.9306413681612193,3.0242685268177265
historisch,median,evening,28.2349835,29.04882983333333,1.0475977664171967,1.2658740217458324
tuindorp,median,morning,36.3868765,39.589057499999996,1.1381642961892195,0.34809042162044584
tuindorp,median,afternoon,60.070185333333335,62.922716666666666,0.5144143470451283,1.8620965322047782
tuindorp,median,evening,33.67736216666666,37.630477666666664,3.0910942798781416,5.441861096753929
vinex,median,morning,36.880739166666665,39.721264999999995,0.7598683736538633,0.372014451230595
vinex,median,afternoon,59.94046133333333,61.885983666666675,1.505652693479829,1.864133622987867
vinex,median,evening,38.37704949999999,40.993637,5.117806155905858,5.735772172064612
volkswijk,median,morning,34.908606999999996,38.115604999999995,1.145590600598312,1.0139446219684791
volkswijk,median,afternoon,56.35329033333333,59.33760833333333,2.985527256784413,2.9475334449656505
volkswijk,median,evening,29.286828666666665,30.94604083333333,1.8868641001318203,3.396375116195408
bloemkool,median,morning,35.990064499999995,39.983036500000004,0.9688597922223315,0.36052874510848565
bloemkool,median,afternoon,58.874300500000004,63.18189933333333,1.693833357177234,1.3664818037732753
bloemkool,median,evening,37.404976500000004,42.37743766666667,4.090256725816401,3.824087088421322
stedelijk,median,morning,32.23439225,36.998628,0.07993897794515942,0.7154290177457623
stedelijk,median,afternoon,50.68137075,56.578551250000004,1.1085137054640257,2.024901423305899
stedelijk,median,evening,27.53224225,28.64047125,0.33713425694854837,0.45610711905455864
historisch,min,morning,21.5034285,21.578066166666662,0.0405053214713826,0.033146953883677915
historisch,min,afternoon,27.960237666666668,28.108916666666662,0.07194417740072251,0.037741653003897827
historisch,min,evening,25.886458333333337,26.036390333333333,0.5453871963604083,0.5766428748484335
tuindorp,min,morning,21.543579833333336,21.56586666666667,0.04668091666373604,0.02860417057470229
tuindorp,min,afternoon,27.970541666666666,28.009724833333333,0.0945391949884633,0.06692806364274058
tuindorp,min,evening,25.969170000000002,26.046812,0.5570202564945014,0.5421223599819511
vinex,min,morning,21.529517833333333,21.570420333333335,0.041807281946650614,0.023943433443569678
vinex,min,afternoon,27.993279166666667,28.07307966666667,0.09503921520597054,0.03054359190839679
vinex,min,evening,25.804917166666666,26.046850833333338,0.531553916177623,0.5380946858854558
volkswijk,min,morning,21.497976500000004,21.56330133333333,0.03547700117399999,0.015701322627940082
volkswijk,min,afternoon,27.916702333333333,28.040878833333334,0.10131222227681418,0.09971978766206206
volkswijk,min,evening,25.658391833333337,25.893416000000002,0.5006343907165862,0.5069151052272955
bloemkool,min,morning,21.399509833333337,21.542077833333334,0.12169792846127903,0.10081278338468079
bloemkool,min,afternoon,27.902208333333334,28.0934525,0.10713819817537891,0.05309478601425943
