%iy  id  it imin   Q*      QH      QE      Qs      Qf    Wind    RH     Td     press   rain    Kdn    snow    ldown   fcld    wuh     xsmd    lai_hr  Kdiff   Kdir    Wd
2023 213 0 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 89.00 16.80 101.30 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2023 213 1 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 90.00 16.55 101.30 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2023 213 2 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 91.00 16.30 101.26 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2023 213 3 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 92.00 16.10 101.20 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2023 213 4 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 92.00 15.90 101.20 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2023 213 5 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 93.00 15.80 101.20 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2023 213 6 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 91.00 16.10 101.20 -999.00 22.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 17.00 42.00 -999.00
2023 213 7 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 89.00 17.00 101.25 -999.00 92.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 57.00 165.00 -999.00
2023 213 8 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 83.00 18.00 101.30 -999.00 189.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 91.00 256.00 -999.00
2023 213 9 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 78.00 19.20 101.30 -999.00 298.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 124.00 334.00 -999.00
2023 213 10 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 73.00 20.10 101.30 -999.00 413.50 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 157.00 374.50 -999.00
2023 213 11 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 70.00 21.10 101.30 -999.00 490.50 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 180.50 412.50 -999.00
2023 213 12 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 67.00 21.80 101.30 -999.00 535.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 191.00 412.50 -999.00
2023 213 13 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 64.00 22.20 101.30 -999.00 548.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 201.00 417.50 -999.00
2023 213 14 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 63.00 22.60 101.30 -999.00 532.50 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 203.00 395.00 -999.00
2023 213 15 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 62.00 22.70 101.30 -999.00 480.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 185.50 376.00 -999.00
2023 213 16 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 62.00 22.60 101.30 -999.00 416.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 163.00 365.50 -999.00
2023 213 17 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 63.00 22.10 101.30 -999.00 331.50 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 133.00 342.00 -999.00
2023 213 18 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 65.00 21.50 101.30 -999.00 225.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 100.00 284.50 -999.00
2023 213 19 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 69.00 20.60 101.30 -999.00 127.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 67.00 212.50 -999.00
2023 213 20 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 75.00 19.40 101.30 -999.00 45.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 30.00 119.50 -999.00
2023 213 21 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 81.00 18.10 101.30 -999.00 3.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 3.00 0.00 -999.00
2023 213 22 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 84.00 17.20 101.30 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2023 213 23 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 88.00 16.60 101.34 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
