iy	id	it	imin	Q*	QH	QE	Qs	Qf	Wind	RH	Td	press	rain	Kdn	snow	ldown	fcld	wuh	xsmd	lai_hr	Kdiff	Kdir	Wd
2023	213	0	0	-999	-999	-999	-999	-999	-999	0.85	16.6	101600	-999	0	-999	-999	-999	-999	-999	-999	0	0	-999
2023	213	1	0	-999	-999	-999	-999	-999	-999	0.86	16	101600	-999	0	-999	-999	-999	-999	-999	-999	0	0	-999
2023	213	2	0	-999	-999	-999	-999	-999	-999	0.88	15.4	101600	-999	0	-999	-999	-999	-999	-999	-999	0	0	-999
2023	213	3	0	-999	-999	-999	-999	-999	-999	0.89	15	101600	-999	0	-999	-999	-999	-999	-999	-999	0	0	-999
2023	213	4	0	-999	-999	-999	-999	-999	-999	0.9	14.7	101562	-999	0	-999	-999	-999	-999	-999	-999	0	0	-999
2023	213	5	0	-999	-999	-999	-999	-999	-999	0.91	14.5	101532	-999	0	-999	-999	-999	-999	-999	-999	0	0	-999
2023	213	6	0	-999	-999	-999	-999	-999	-999	0.89	15.4	101520	-999	33	-999	-999	-999	-999	-999	-999	22	139	-999
2023	213	7	0	-999	-999	-999	-999	-999	-999	0.83	17.4	101544	-999	129	-999	-999	-999	-999	-999	-999	60	316	-999
2023	213	8	0	-999	-999	-999	-999	-999	-999	0.75	19.3	101544	-999	254	-999	-999	-999	-999	-999	-999	89	464	-999
2023	213	9	0	-999	-999	-999	-999	-999	-999	0.67	21	101567	-999	401	-999	-999	-999	-999	-999	-999	109	582	-999
2023	213	10	0	-999	-999	-999	-999	-999	-999	0.62	22.6	101563	-999	533	-999	-999	-999	-999	-999	-999	122	660	-999
2023	213	11	0	-999	-999	-999	-999	-999	-999	0.57	24	101500	-999	641	-999	-999	-999	-999	-999	-999	134	708	-999
2023	213	12	0	-999	-999	-999	-999	-999	-999	0.53	24.9	101500	-999	706	-999	-999	-999	-999	-999	-999	143	723	-999
2023	213	13	0	-999	-999	-999	-999	-999	-999	0.51	25.6	101500	-999	718	-999	-999	-999	-999	-999	-999	149	718	-999
2023	213	14	0	-999	-999	-999	-999	-999	-999	0.49	26.1	101490	-999	684	-999	-999	-999	-999	-999	-999	158	682	-999
2023	213	15	0	-999	-999	-999	-999	-999	-999	0.48	26.2	101400	-999	612	-999	-999	-999	-999	-999	-999	152	628	-999
2023	213	16	0	-999	-999	-999	-999	-999	-999	0.48	26.2	101400	-999	520	-999	-999	-999	-999	-999	-999	138	587	-999
2023	213	17	0	-999	-999	-999	-999	-999	-999	0.49	25.7	101400	-999	404	-999	-999	-999	-999	-999	-999	118	524	-999
2023	213	18	0	-999	-999	-999	-999	-999	-999	0.52	25	101328	-999	271	-999	-999	-999	-999	-999	-999	96	429	-999
2023	213	19	0	-999	-999	-999	-999	-999	-999	0.58	23.6	101400	-999	156	-999	-999	-999	-999	-999	-999	70	304	-999
2023	213	20	0	-999	-999	-999	-999	-999	-999	0.65	21.8	101400	-999	60	-999	-999	-999	-999	-999	-999	36	179	-999
2023	213	21	0	-999	-999	-999	-999	-999	-999	0.73	20.1	101400	-999	5	-999	-999	-999	-999	-999	-999	5	0	-999
2023	213	22	0	-999	-999	-999	-999	-999	-999	0.78	19.1	101400	-999	0	-999	-999	-999	-999	-999	-999	0	0	-999
2023	213	23	0	-999	-999	-999	-999	-999	-999	0.81	18.3	101400	-999	0	-999	-999	-999	-999	-999	-999	0	0	-999
