%iy  id  it imin   Q*      QH      QE      Qs      Qf    Wind    RH     Td     press   rain    Kdn    snow    ldown   fcld    wuh     xsmd    lai_hr  Kdiff   Kdir    Wd
2023 213 0 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 76.00 19.70 101.60 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2023 213 1 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 77.00 19.20 101.60 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2023 213 2 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 79.00 18.50 101.58 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2023 213 3 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 80.00 17.90 101.51 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2023 213 4 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 82.00 17.60 101.50 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2023 213 5 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 82.00 17.20 101.50 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2023 213 6 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 80.00 18.50 101.50 -999.00 46.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 24.00 205.00 -999.00
2023 213 7 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 72.00 21.00 101.50 -999.00 154.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 59.00 397.00 -999.00
2023 213 8 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 64.00 23.10 101.50 -999.00 287.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 85.00 543.00 -999.00
2023 213 9 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 56.00 25.20 101.50 -999.00 432.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 104.00 652.00 -999.00
2023 213 10 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 51.00 26.90 101.50 -999.00 564.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 117.00 717.00 -999.00
2023 213 11 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 45.00 28.50 101.50 -999.00 679.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 124.00 757.00 -999.00
2023 213 12 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 42.00 29.50 101.50 -999.00 750.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 131.00 787.00 -999.00
2023 213 13 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 39.00 30.30 101.40 -999.00 778.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 131.00 793.00 -999.00
2023 213 14 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 37.00 30.90 101.40 -999.00 764.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 130.00 786.00 -999.00
2023 213 15 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 36.00 31.20 101.33 -999.00 693.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 128.00 734.00 -999.00
2023 213 16 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 36.00 31.10 101.30 -999.00 585.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 123.00 685.00 -999.00
2023 213 17 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 36.00 30.70 101.30 -999.00 465.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 110.00 617.00 -999.00
2023 213 18 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 40.00 30.00 101.22 -999.00 318.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 93.00 516.00 -999.00
2023 213 19 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 45.00 28.70 101.30 -999.00 181.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 70.00 378.00 -999.00
2023 213 20 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 53.00 26.70 101.30 -999.00 73.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 41.00 199.00 -999.00
2023 213 21 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 62.00 24.20 101.30 -999.00 9.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 6.00 20.00 -999.00
2023 213 22 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 68.00 22.80 101.38 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2023 213 23 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 0.72 21.50 101.40 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
