iy	id	it	imin	Q*	QH	QE	Qs	Qf	Wind	RH	Td	press	rain	Kdn	snow	ldown	fcld	wuh	xsmd	lai_hr	Kdiff	Kdir	Wd
2023	172	0	0	-999	-999	-999	-999	-999	-999	0.76	28.1	101600	-999	0	-999	-999	-999	-999	-999	-999	0	0	-999
2023	172	1	0	-999	-999	-999	-999	-999	-999	0.77	26.8	101600	-999	0	-999	-999	-999	-999	-999	-999	0	0	-999
2023	172	2	0	-999	-999	-999	-999	-999	-999	0.79	25.5	101585	-999	0	-999	-999	-999	-999	-999	-999	0	0	-999
2023	172	3	0	-999	-999	-999	-999	-999	-999	0.8	25.1	101510	-999	0	-999	-999	-999	-999	-999	-999	0	0	-999
2023	172	4	0	-999	-999	-999	-999	-999	-999	0.82	24.2	101500	-999	0	-999	-999	-999	-999	-999	-999	0	0	-999
2023	172	5	0	-999	-999	-999	-999	-999	-999	0.82	23.5	101500	-999	8.8	-999	-999	-999	-999	-999	-999	7	40	-999
2023	172	6	0	-999	-999	-999	-999	-999	-999	0.8	24.4	101500	-999	79.8	-999	-999	-999	-999	-999	-999	41	293.8	-999
2023	172	7	0	-999	-999	-999	-999	-999	-999	0.72	26.2	101500	-999	203.8	-999	-999	-999	-999	-999	-999	75.8	482	-999
2023	172	8	0	-999	-999	-999	-999	-999	-999	0.64	28.1	101500	-999	349.8	-999	-999	-999	-999	-999	-999	114.8	611	-999
2023	172	9	0	-999	-999	-999	-999	-999	-999	0.56	30	101500	-999	498.8	-999	-999	-999	-999	-999	-999	145.8	703.6	-999
2023	172	10	0	-999	-999	-999	-999	-999	-999	0.51	32	101500	-999	634	-999	-999	-999	-999	-999	-999	158.8	764.8	-999
2023	172	11	0	-999	-999	-999	-999	-999	-999	0.45	34	101500	-999	740	-999	-999	-999	-999	-999	-999	168.6	802.8	-999
2023	172	12	0	-999	-999	-999	-999	-999	-999	0.42	35.9	101499	-999	815.8	-999	-999	-999	-999	-999	-999	192	828	-999
2023	172	13	0	-999	-999	-999	-999	-999	-999	0.39	36.5	101400	-999	843.6	-999	-999	-999	-999	-999	-999	201.6	835	-999
2023	172	14	0	-999	-999	-999	-999	-999	-999	0.37	37.3	101400	-999	827.8	-999	-999	-999	-999	-999	-999	191.2	832	-999
2023	172	15	0	-999	-999	-999	-999	-999	-999	0.36	38.3	101335	-999	769.8	-999	-999	-999	-999	-999	-999	191.6	816	-999
2023	172	16	0	-999	-999	-999	-999	-999	-999	0.36	38.8	101300	-999	671.8	-999	-999	-999	-999	-999	-999	186.6	784.4	-999
2023	172	17	0	-999	-999	-999	-999	-999	-999	0.36	39.2	101300	-999	545.8	-999	-999	-999	-999	-999	-999	165	733.2	-999
2023	172	18	0	-999	-999	-999	-999	-999	-999	0.4	38.9	101219	-999	398	-999	-999	-999	-999	-999	-999	126	649.6	-999
2023	172	19	0	-999	-999	-999	-999	-999	-999	0.45	37	101300	-999	246	-999	-999	-999	-999	-999	-999	93.8	530.6	-999
2023	172	20	0	-999	-999	-999	-999	-999	-999	0.53	34.3	101300	-999	112	-999	-999	-999	-999	-999	-999	52.8	360	-999
2023	172	21	0	-999	-999	-999	-999	-999	-999	0.62	32.7	101300	-999	22	-999	-999	-999	-999	-999	-999	15	154	-999
2023	172	22	0	-999	-999	-999	-999	-999	-999	0.68	31.2	101380	-999	0	-999	-999	-999	-999	-999	-999	0	0	-999
2023	172	23	0	-999	-999	-999	-999	-999	-999	0.72	29	101400	-999	0	-999	-999	-999	-999	-999	-999	0	0	-999
