%iy  id  it imin   Q*      QH      QE      Qs      Qf    Wind    RH     Td     press   rain    Kdn    snow    ldown   fcld    wuh     xsmd    lai_hr  Kdiff   Kdir    Wd
2023 2023 0 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 76.00 28.10 101.60 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2023 2023 1 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 77.00 26.80 101.60 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2023 2023 2 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 79.00 25.50 101.58 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2023 2023 3 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 80.00 25.10 101.51 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2023 2023 4 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 82.00 24.20 101.50 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2023 2023 5 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 82.00 23.50 101.50 -999.00 8.80 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 7.00 40.00 -999.00
2023 2023 6 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 80.00 24.40 101.50 -999.00 79.80 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 41.00 293.80 -999.00
2023 2023 7 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 72.00 26.20 101.50 -999.00 203.80 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 75.80 482.00 -999.00
2023 2023 8 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 64.00 28.10 101.50 -999.00 349.80 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 114.80 611.00 -999.00
2023 2023 9 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 56.00 30.00 101.50 -999.00 498.80 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 145.80 703.60 -999.00
2023 2023 10 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 51.00 32.00 101.50 -999.00 634.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 158.80 764.80 -999.00
2023 2023 11 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 45.00 34.00 101.50 -999.00 740.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 168.60 802.80 -999.00
2023 2023 12 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 42.00 35.90 101.50 -999.00 815.80 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 192.00 828.00 -999.00
2023 2023 13 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 39.00 36.50 101.40 -999.00 843.60 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 201.60 835.00 -999.00
2023 2023 14 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 37.00 37.30 101.40 -999.00 827.80 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 191.20 832.00 -999.00
2023 2023 15 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 36.00 38.30 101.33 -999.00 769.80 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 191.60 816.00 -999.00
2023 2023 16 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 36.00 38.80 101.30 -999.00 671.80 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 186.60 784.40 -999.00
2023 2023 17 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 36.00 39.20 101.30 -999.00 545.80 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 165.00 733.20 -999.00
2023 2023 18 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 40.00 38.90 101.22 -999.00 398.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 126.00 649.60 -999.00
2023 2023 19 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 45.00 37.00 101.30 -999.00 246.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 93.80 530.60 -999.00
2023 2023 20 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 53.00 34.30 101.30 -999.00 112.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 52.80 360.00 -999.00
2023 2023 21 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 62.00 32.70 101.30 -999.00 22.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 15.00 154.00 -999.00
2023 2023 22 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 68.00 31.20 101.38 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2023 2023 23 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 72.00 29.00 101.40 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
