datetime_lst,datetime,ws10,wdir10,ws100,r2m,t2m,stl3,stl4,sp,ssrd,strd,tcc,tp,fdir,sd,alpha_sol,azimuth_sol,CF100,dhi,dni
2000-05-06 00:00:00,2000-05-05 23:00:00,3.9,77,8.39999961853027,0.67,15.1,11.4,7.8,101300,0,311,0.08,0.0,0,0.0,0.0,-2.87,0.4,0,0
2000-05-06 01:00:00,2000-05-06 00:00:00,3.8,83,8.10000038146973,0.69,14.7,11.4,7.8,101300,0,312,0.15,0.0,0,0.0,0.0,-3.12,0.36,0,0
2000-05-06 02:00:00,2000-05-06 01:00:00,3.6,84,7.80000019073486,0.72,14.0,11.4,7.8,101300,0,307,0.11,0.0,0,0.0,0.0,2.91,0.32,0,0
2000-05-06 03:00:00,2000-05-06 02:00:00,3.6,86,7.80000019073486,0.75,13.4,11.4,7.8,101300,0,307,0.08,0.0,0,0.0,0.0,2.66,0.32,0,0
2000-05-06 04:00:00,2000-05-06 03:00:00,3.6,87,7.69999980926514,0.77,12.9,11.4,7.8,101300,0,305,0.08,0.0,0,0.0,0.0,2.41,0.31,0,0
2000-05-06 05:00:00,2000-05-06 04:00:00,3.6,87,7.80000019073486,0.77,12.6,11.5,7.8,101300,0,303,0.05,0.0,0,0.0,0.0,2.18,0.32,0,0
2000-05-06 06:00:00,2000-05-06 05:00:00,3.8,87,7.59999990463257,0.75,13.1,11.5,7.8,101300,32,302,0.0,0.0,14,0.0,0.064,1.97,0.29,18,217
2000-05-06 07:00:00,2000-05-06 06:00:00,4.1,86,7.19999980926514,0.7,14.9,11.5,7.8,101300,139,301,0.0,0.0,84,0.0,0.217,1.77,0.25,55,389
2000-05-06 08:00:00,2000-05-06 07:00:00,4.1,87,6.09999990463257,0.65,16.2,11.5,7.8,101300,297,307,0.0,0.0,217,0.0,0.377,1.56,0.14,80,590
2000-05-06 09:00:00,2000-05-06 08:00:00,4.1,88,5.69999980926514,0.61,17.8,11.5,7.8,101300,451,311,0.0,0.0,353,0.0,0.536,1.35,0.11,98,692
2000-05-06 10:00:00,2000-05-06 09:00:00,4.2,88,5.59999990463257,0.58,19.3,11.5,7.8,101400,590,318,0.0,0.0,480,0.0,0.686,1.1,0.11,110,758
2000-05-06 11:00:00,2000-05-06 10:00:00,4.2,85,5.5,0.52,22.6,11.5,7.8,101300,700,325,0.0,0.0,581,0.0,0.817,0.81,0.1,119,797
2000-05-06 12:00:00,2000-05-06 11:00:00,4.3,84,5.69999980926514,0.5,23.4,11.5,7.9,101300,770,332,0.0,0.0,646,0.0,0.911,0.45,0.11,124,817
2000-05-06 13:00:00,2000-05-06 12:00:00,4.6,84,6.0,0.46,24.6,11.6,7.9,101300,797,337,0.01,0.0,673,0.0,0.95,0.03,0.13,124,828
2000-05-06 14:00:00,2000-05-06 13:00:00,4.8,89,6.40000009536743,0.42,25.0,11.6,7.9,101300,684,342,0.17,0.0,524,0.0,0.921,-0.39,0.17,160,658
2000-05-06 15:00:00,2000-05-06 14:00:00,4.8,94,6.59999990463257,0.41,24.9,11.6,7.9,101200,607,350,0.21,0.0,482,0.0,0.833,-0.76,0.19,125,651
2000-05-06 16:00:00,2000-05-06 15:00:00,4.6,93,6.30000019073486,0.38,25.0,11.6,7.9,101200,567,350,0.13,0.0,448,0.0,0.706,-1.06,0.16,119,690
2000-05-06 17:00:00,2000-05-06 16:00:00,3.8,82,5.90000009536743,0.39,24.6,11.7,7.9,101200,439,346,0.21,0.0,333,0.0,0.558,-1.31,0.13,106,629
2000-05-06 18:00:00,2000-05-06 17:00:00,3.7,67,6.5,0.44,23.6,11.7,7.9,101200,245,363,0.21,0.0,153,0.0,0.4,-1.53,0.18,92,393
2000-05-06 19:00:00,2000-05-06 18:00:00,3.8,60,7.59999990463257,0.48,22.2,11.7,7.9,101200,134,347,0.2,0.0,58,0.0,0.24,-1.74,0.29,76,244
2000-05-06 20:00:00,2000-05-06 19:00:00,4.2,62,8.69999980926514,0.54,20.6,11.8,7.9,101200,46,327,0.25,0.0,21,0.0,0.086,-1.94,0.45,25,245
2000-05-06 21:00:00,2000-05-06 20:00:00,4.7,67,9.39999961853027,0.56,19.7,11.8,7.9,101300,0,323,0.38,0.0,0,0.0,0.0,-2.15,0.56,0,0
2000-05-06 22:00:00,2000-05-06 21:00:00,4.9,70,9.69999980926514,0.58,19.2,11.8,7.9,101300,0,318,0.41,0.0,0,0.0,0.0,-2.38,0.61,0,0
2000-05-06 23:00:00,2000-05-06 22:00:00,5.0,71,9.69999980926514,0.63,17.2,11.9,7.9,101300,0,315,0.61,0.0,0,0.0,0.0,-2.62,0.61,0,0
2000-05-10 00:00:00,2000-05-09 23:00:00,1.8,47,4.09999990463257,0.9,15.5,13.5,8.3,101600,0,334,0.23,0.0,0,0.0,0.0,-2.87,0.03,0,0
2000-05-10 01:00:00,2000-05-10 00:00:00,1.7,43,3.90000009536743,0.92,14.8,13.5,8.3,101600,0,327,0.29,0.0,0,0.0,0.0,-3.12,0.02,0,0
2000-05-10 02:00:00,2000-05-10 01:00:00,1.7,38,3.79999995231628,0.93,14.2,13.5,8.3,101500,0,325,0.32,0.0,0,0.0,0.0,2.91,0.02,0,0
2000-05-10 03:00:00,2000-05-10 02:00:00,1.7,34,3.79999995231628,0.94,13.6,13.6,8.3,101500,0,323,0.32,0.0,0,0.0,0.0,2.66,0.02,0,0
2000-05-10 04:00:00,2000-05-10 03:00:00,1.8,35,3.90000009536743,0.96,13.6,13.6,8.3,101500,0,329,0.29,0.0,0,0.0,0.0,2.42,0.02,0,0
2000-05-10 05:00:00,2000-05-10 04:00:00,1.9,37,4.19999980926514,0.96,13.3,13.6,8.3,101500,0,321,0.22,0.0,0,0.0,0.0,2.19,0.03,0,0
2000-05-10 06:00:00,2000-05-10 05:00:00,2.2,40,4.30000019073486,0.95,14.2,13.6,8.3,101500,38,320,0.37,0.0,16,0.0,0.08,1.98,0.04,22,201
2000-05-10 07:00:00,2000-05-10 06:00:00,1.8,44,3.40000009536743,0.9,16.5,13.6,8.4,101500,150,324,0.5,0.0,88,0.0,0.232,1.78,0.01,62,382
2000-05-10 08:00:00,2000-05-10 07:00:00,1.5,38,2.09999990463257,0.84,18.5,13.6,8.4,101500,290,329,0.6,0.0,203,0.0,0.391,1.58,0.0,87,532
2000-05-10 09:00:00,2000-05-10 08:00:00,1.7,34,2.09999990463257,0.75,20.4,13.6,8.4,101600,448,333,0.45,0.0,341,0.0,0.551,1.36,0.0,107,652
2000-05-10 10:00:00,2000-05-10 09:00:00,2.0,41,2.5,0.71,21.5,13.6,8.4,101600,574,345,0.58,0.0,454,0.0,0.702,1.12,0.0,120,703
2000-05-10 11:00:00,2000-05-10 10:00:00,2.2,63,2.79999995231628,0.58,24.3,13.6,8.4,101600,691,346,0.35,0.0,563,0.0,0.834,0.82,0.0,128,760
2000-05-10 12:00:00,2000-05-10 11:00:00,2.5,69,3.20000004768372,0.56,24.8,13.6,8.4,101500,737,358,0.25,0.0,577,0.0,0.93,0.46,0.0,160,720
2000-05-10 13:00:00,2000-05-10 12:00:00,2.7,72,3.29999995231628,0.54,25.4,13.7,8.4,101500,725,361,0.36,0.0,556,0.0,0.968,0.03,0.01,169,675
2000-05-10 14:00:00,2000-05-10 13:00:00,2.7,74,3.40000009536743,0.54,25.8,13.7,8.4,101500,728,369,0.38,0.0,577,0.0,0.939,-0.4,0.01,151,715
2000-05-10 15:00:00,2000-05-10 14:00:00,3.0,69,3.79999995231628,0.56,25.3,13.7,8.4,101500,643,365,0.59,0.1,447,0.0,0.85,-0.77,0.02,196,595
2000-05-10 16:00:00,2000-05-10 15:00:00,3.5,64,4.59999990463257,0.56,24.7,13.7,8.4,101400,498,380,0.7,0.1,292,0.0,0.722,-1.08,0.05,206,442
2000-05-10 17:00:00,2000-05-10 16:00:00,3.8,63,5.5,0.56,23.8,13.7,8.4,101400,352,376,0.91,0.4,206,0.0,0.572,-1.33,0.1,146,380
2000-05-10 18:00:00,2000-05-10 17:00:00,3.2,50,5.5,0.62,22.1,13.8,8.4,101500,227,369,0.98,0.4,92,0.0,0.414,-1.55,0.1,135,229
2000-05-10 19:00:00,2000-05-10 18:00:00,3.8,48,7.30000019073486,0.64,20.9,13.8,8.4,101500,112,369,0.94,0.1,29,0.0,0.254,-1.75,0.26,83,115
2000-05-10 20:00:00,2000-05-10 19:00:00,4.2,52,8.30000019073486,0.66,20.1,13.8,8.4,101600,42,353,0.98,0.0,7,0.0,0.101,-1.95,0.39,35,70
2000-05-10 21:00:00,2000-05-10 20:00:00,4.9,55,9.19999980926514,0.63,19.5,13.9,8.4,101600,1,355,0.98,0.0,0,0.0,0.0,-2.16,0.53,1,0
2000-05-10 22:00:00,2000-05-10 21:00:00,5.1,56,9.5,0.61,19.1,13.9,8.4,101600,0,350,0.86,0.0,0,0.0,0.0,-2.39,0.58,0,0
2000-05-10 23:00:00,2000-05-10 22:00:00,5.0,54,9.39999961853027,0.64,17.6,13.9,8.5,101600,0,337,0.83,0.0,0,0.0,0.0,-2.63,0.56,0,0
2000-05-14 00:00:00,2000-05-13 23:00:00,2.2,87,5.80000019073486,0.65,13.3,14.4,8.9,102200,0,296,0.0,0.0,0,0.0,0.0,-2.88,0.12,0,0
2000-05-14 01:00:00,2000-05-14 00:00:00,2.1,90,5.5,0.66,12.8,14.4,8.9,102200,0,293,0.0,0.0,0,0.0,0.0,-3.12,0.1,0,0
2000-05-14 02:00:00,2000-05-14 01:00:00,2.0,92,5.09999990463257,0.7,11.6,14.4,8.9,102200,0,291,0.01,0.0,0,0.0,0.0,2.91,0.07,0,0
2000-05-14 03:00:00,2000-05-14 02:00:00,2.0,92,4.69999980926514,0.73,10.9,14.4,9.0,102200,0,289,0.0,0.0,0,0.0,0.0,2.67,0.05,0,0
2000-05-14 04:00:00,2000-05-14 03:00:00,2.0,92,4.40000009536743,0.76,10.2,14.4,9.0,102200,0,287,0.0,0.0,0,0.0,0.0,2.42,0.04,0,0
2000-05-14 05:00:00,2000-05-14 04:00:00,1.9,92,4.09999990463257,0.78,10.1,14.4,9.0,102200,1,286,0.0,0.0,0,0.0,0.0,2.2,0.03,1,0
2000-05-14 06:00:00,2000-05-14 05:00:00,2.1,87,3.90000009536743,0.76,11.6,14.4,9.0,102200,51,285,0.0,0.0,25,0.0,0.094,1.99,0.02,26,267
2000-05-14 07:00:00,2000-05-14 06:00:00,2.0,90,3.70000004768372,0.68,14.6,14.4,9.0,102200,175,287,0.0,0.0,114,0.0,0.246,1.79,0.02,61,469
2000-05-14 08:00:00,2000-05-14 07:00:00,1.6,91,2.40000009536743,0.65,16.4,14.4,9.0,102200,329,293,0.0,0.0,245,0.0,0.405,1.59,0.0,84,622
