datetime_lst,datetime,ws10,wdir10,ws100,r2m,t2m,stl3,stl4,sp,ssrd,strd,tcc,tp,fdir,sd,alpha_sol,azimuth_sol,CF100,dhi,dni
2000-06-19 00:00:00,2000-06-18 23:00:00,3.2,132,7.69999980926514,0.65,19.5,14.8,11.9,102100,0,325,0.0,0.0,0,0.0,0.0,-2.86,0.31,0,0
2000-06-19 01:00:00,2000-06-19 00:00:00,3.3,136,7.80000019073486,0.65,19.0,14.8,11.9,102000,0,322,0.0,0.0,0,0.0,0.0,-3.1,0.32,0,0
2000-06-19 02:00:00,2000-06-19 01:00:00,3.4,140,8.0,0.64,18.8,14.9,11.9,102000,0,320,0.0,0.0,0,0.0,0.0,2.94,0.34,0,0
2000-06-19 03:00:00,2000-06-19 02:00:00,3.5,149,8.10000038146973,0.65,18.2,14.9,11.9,101900,0,318,0.0,0.0,0,0.0,0.0,2.7,0.36,0,0
2000-06-19 04:00:00,2000-06-19 03:00:00,3.6,157,8.10000038146973,0.66,17.9,14.9,11.9,101900,0,316,0.0,0.0,0,0.0,0.0,2.47,0.36,0,0
2000-06-19 05:00:00,2000-06-19 04:00:00,3.7,160,8.0,0.69,17.4,14.9,12.0,101900,10,313,0.0,0.0,2,0.0,0.013,2.26,0.34,8,40
2000-06-19 06:00:00,2000-06-19 05:00:00,4.0,165,7.80000019073486,0.68,18.5,14.9,12.0,101800,85,311,0.0,0.0,44,0.0,0.147,2.06,0.32,41,301
2000-06-19 07:00:00,2000-06-19 06:00:00,4.3,167,7.59999990463257,0.6,21.4,15.0,12.0,101800,213,313,0.0,0.0,141,0.0,0.295,1.86,0.29,72,485
2000-06-19 08:00:00,2000-06-19 07:00:00,4.4,172,6.80000019073486,0.53,23.3,15.0,12.0,101800,361,324,0.0,0.0,266,0.0,0.452,1.67,0.2,95,609
2000-06-19 09:00:00,2000-06-19 08:00:00,4.6,177,6.5,0.48,24.9,15.0,12.0,101700,512,331,0.0,0.0,401,0.0,0.612,1.46,0.18,111,698
2000-06-19 10:00:00,2000-06-19 09:00:00,4.8,182,6.5,0.46,26.0,15.0,12.0,101700,648,339,0.0,0.0,524,0.0,0.768,1.22,0.18,124,754
2000-06-19 11:00:00,2000-06-19 10:00:00,4.8,183,6.40000009536743,0.42,29.4,15.0,12.0,101600,755,348,0.0,0.0,621,0.0,0.909,0.93,0.17,134,787
2000-06-19 12:00:00,2000-06-19 11:00:00,5.1,185,6.69999980926514,0.41,30.4,15.0,12.0,101600,825,357,0.0,0.0,685,0.0,1.017,0.55,0.2,140,805
2000-06-19 13:00:00,2000-06-19 12:00:00,5.5,192,7.30000019073486,0.37,31.5,15.1,12.0,101600,851,365,0.0,0.0,709,0.0,1.067,0.08,0.26,142,810
2000-06-19 14:00:00,2000-06-19 13:00:00,5.5,199,7.30000019073486,0.34,32.2,15.1,12.0,101500,833,373,0.0,0.0,692,0.0,1.04,-0.41,0.26,141,802
2000-06-19 15:00:00,2000-06-19 14:00:00,5.3,202,7.0,0.32,32.8,15.1,12.0,101500,771,378,0.0,0.0,636,0.0,0.948,-0.82,0.22,135,783
2000-06-19 16:00:00,2000-06-19 15:00:00,5.1,206,6.80000019073486,0.33,33.0,15.2,12.0,101500,671,382,0.0,0.0,544,0.0,0.815,-1.13,0.2,127,747
2000-06-19 17:00:00,2000-06-19 16:00:00,4.7,211,6.5,0.34,32.7,15.2,12.0,101400,542,385,0.0,0.0,426,0.0,0.663,-1.39,0.18,116,692
2000-06-19 18:00:00,2000-06-19 17:00:00,3.9,215,5.90000009536743,0.38,32.0,15.2,12.0,101400,395,387,0.0,0.0,295,0.0,0.503,-1.6,0.13,100,611
2000-06-19 19:00:00,2000-06-19 18:00:00,2.9,216,5.19999980926514,0.41,31.4,15.3,12.0,101400,246,387,0.0,0.0,167,0.0,0.345,-1.8,0.08,79,494
2000-06-19 20:00:00,2000-06-19 19:00:00,2.2,211,5.30000019073486,0.5,30.1,15.3,12.0,101400,115,382,0.0,0.0,64,0.0,0.193,-1.99,0.09,51,333
2000-06-19 21:00:00,2000-06-19 20:00:00,2.3,205,5.59999990463257,0.62,26.7,15.4,12.0,101400,24,379,0.0,0.0,9,0.0,0.054,-2.19,0.11,15,166
2000-06-19 22:00:00,2000-06-19 21:00:00,2.6,201,6.19999980926514,0.7,24.7,15.4,12.0,101400,0,375,0.0,0.0,0,0.0,0.0,-2.4,0.15,0,0
2000-06-19 23:00:00,2000-06-19 22:00:00,2.7,204,6.5,0.76,22.8,15.4,12.0,101400,0,372,0.0,0.0,0,0.0,0.0,-2.63,0.18,0,0
2000-06-20 00:00:00,2000-06-19 23:00:00,2.8,207,6.59999990463257,0.78,22.3,15.5,12.0,101400,0,368,0.0,0.0,0,0.0,0.0,-2.86,0.19,0,0
2000-06-20 01:00:00,2000-06-20 00:00:00,2.7,207,6.5,0.81,21.8,15.5,12.0,101400,0,363,0.0,0.0,0,0.0,0.0,-3.1,0.18,0,0
2000-06-20 02:00:00,2000-06-20 01:00:00,2.5,205,6.09999990463257,0.86,20.7,15.6,12.0,101400,0,359,0.0,0.0,0,0.0,0.0,2.94,0.14,0,0
2000-06-20 03:00:00,2000-06-20 02:00:00,2.2,195,5.59999990463257,0.86,20.4,15.6,12.0,101300,0,354,0.0,0.0,0,0.0,0.0,2.7,0.11,0,0
2000-06-20 04:00:00,2000-06-20 03:00:00,2.2,185,5.40000009536743,0.87,20.3,15.6,12.0,101300,0,350,0.0,0.0,0,0.0,0.0,2.47,0.09,0,0
2000-06-20 05:00:00,2000-06-20 04:00:00,2.4,179,5.5,0.86,20.4,15.6,12.0,101300,9,346,0.0,0.0,2,0.0,0.013,2.26,0.1,7,40
2000-06-20 06:00:00,2000-06-20 05:00:00,3.0,177,5.59999990463257,0.82,21.5,15.7,12.0,101300,81,344,0.0,0.0,40,0.0,0.147,2.06,0.11,41,274
2000-06-20 07:00:00,2000-06-20 06:00:00,2.8,176,5.0,0.72,23.7,15.7,12.0,101300,204,346,0.0,0.0,132,0.0,0.295,1.86,0.07,72,455
2000-06-20 08:00:00,2000-06-20 07:00:00,3.0,178,4.19999980926514,0.66,25.2,15.7,12.1,101200,349,356,0.0,0.0,254,0.0,0.452,1.67,0.03,95,582
2000-06-20 09:00:00,2000-06-20 08:00:00,3.2,180,4.19999980926514,0.59,27.4,15.8,12.1,101200,498,362,0.0,0.0,385,0.0,0.612,1.46,0.03,113,670
2000-06-20 10:00:00,2000-06-20 09:00:00,3.4,181,4.40000009536743,0.55,28.4,15.8,12.1,101200,632,369,0.0,0.0,507,0.0,0.767,1.22,0.04,125,730
2000-06-20 11:00:00,2000-06-20 10:00:00,3.5,181,4.5,0.45,31.0,15.8,12.1,101200,740,376,0.0,0.0,605,0.0,0.908,0.93,0.04,135,767
2000-06-20 12:00:00,2000-06-20 11:00:00,4.7,189,6.09999990463257,0.37,32.0,15.8,12.1,101100,818,381,0.04,0.0,678,0.0,1.017,0.55,0.14,140,797
2000-06-20 13:00:00,2000-06-20 12:00:00,5.2,198,6.80000019073486,0.32,32.8,15.9,12.1,101100,830,389,0.21,0.0,684,0.0,1.067,0.08,0.2,146,781
2000-06-20 14:00:00,2000-06-20 13:00:00,5.0,205,6.59999990463257,0.3,33.3,15.9,12.1,101000,763,389,0.22,0.0,622,0.0,1.041,-0.4,0.19,141,721
