iy	id	it	imin	Q*	QH	QE	Qs	Qf	Wind	RH	Td	press	rain	Kdn	snow	ldown	fcld	wuh	xsmd	lai_hr	Kdiff	Kdir	Wd
2023	213	0	0	-999	-999	-999	-999	-999	-999	89	16.8	101.300	-999	0	-999	-999	-999	-999	-999	-999	0	0	-999
2023	213	1	0	-999	-999	-999	-999	-999	-999	90	16.55	101.300	-999	0	-999	-999	-999	-999	-999	-999	0	0	-999
2023	213	2	0	-999	-999	-999	-999	-999	-999	91	16.3	101.258	-999	0	-999	-999	-999	-999	-999	-999	0	0	-999
2023	213	3	0	-999	-999	-999	-999	-999	-999	92	16.1	101.200	-999	0	-999	-999	-999	-999	-999	-999	0	0	-999
2023	213	4	0	-999	-999	-999	-999	-999	-999	92	15.9	101.200	-999	0	-999	-999	-999	-999	-999	-999	0	0	-999
2023	213	5	0	-999	-999	-999	-999	-999	-999	93	15.8	101.200	-999	0	-999	-999	-999	-999	-999	-999	0	0	-999
2023	213	6	0	-999	-999	-999	-999	-999	-999	91	16.1	101.200	-999	22	-999	-999	-999	-999	-999	-999	17	42	-999
2023	213	7	0	-999	-999	-999	-999	-999	-999	89	17	101.246	-999	92	-999	-999	-999	-999	-999	-999	57	165	-999
2023	213	8	0	-999	-999	-999	-999	-999	-999	83	18	101.300	-999	189	-999	-999	-999	-999	-999	-999	91	256	-999
2023	213	9	0	-999	-999	-999	-999	-999	-999	78	19.2	101.300	-999	298	-999	-999	-999	-999	-999	-999	124	334	-999
2023	213	10	0	-999	-999	-999	-999	-999	-999	73	20.1	101.300	-999	413.5	-999	-999	-999	-999	-999	-999	157	374.5	-999
2023	213	11	0	-999	-999	-999	-999	-999	-999	70	21.1	101.300	-999	490.5	-999	-999	-999	-999	-999	-999	180.5	412.5	-999
2023	213	12	0	-999	-999	-999	-999	-999	-999	67	21.8	101.300	-999	535	-999	-999	-999	-999	-999	-999	191	412.5	-999
2023	213	13	0	-999	-999	-999	-999	-999	-999	64	22.2	101.300	-999	548	-999	-999	-999	-999	-999	-999	201	417.5	-999
2023	213	14	0	-999	-999	-999	-999	-999	-999	63	22.6	101.300	-999	532.5	-999	-999	-999	-999	-999	-999	203	395	-999
2023	213	15	0	-999	-999	-999	-999	-999	-999	62	22.7	101.300	-999	480	-999	-999	-999	-999	-999	-999	185.5	376	-999
2023	213	16	0	-999	-999	-999	-999	-999	-999	62	22.6	101.300	-999	416	-999	-999	-999	-999	-999	-999	163	365.5	-999
2023	213	17	0	-999	-999	-999	-999	-999	-999	63	22.1	101.300	-999	331.5	-999	-999	-999	-999	-999	-999	133	342	-999
2023	213	18	0	-999	-999	-999	-999	-999	-999	65	21.5	101.300	-999	225	-999	-999	-999	-999	-999	-999	100	284.5	-999
2023	213	19	0	-999	-999	-999	-999	-999	-999	69	20.6	101.300	-999	127	-999	-999	-999	-999	-999	-999	67	212.5	-999
2023	213	20	0	-999	-999	-999	-999	-999	-999	75	19.4	101.300	-999	45	-999	-999	-999	-999	-999	-999	30	119.5	-999
2023	213	21	0	-999	-999	-999	-999	-999	-999	81	18.1	101.300	-999	3	-999	-999	-999	-999	-999	-999	3	0	-999
2023	213	22	0	-999	-999	-999	-999	-999	-999	84	17.2	101.300	-999	0	-999	-999	-999	-999	-999	-999	0	0	-999
2023	213	23	0	-999	-999	-999	-999	-999	-999	88	16.6	101.343	-999	0	-999	-999	-999	-999	-999	-999	0	0	-999
