%iy  id  it imin   Q*      QH      QE      Qs      Qf    Wind    RH     Td     press   rain    Kdn    snow    ldown   fcld    wuh     xsmd    lai_hr  Kdiff   Kdir    Wd
2023 213 0 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 87.00 16.50 101.30 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2023 213 1 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 88.00 16.20 101.30 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2023 213 2 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 89.00 15.90 101.30 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2023 213 3 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 90.00 15.70 101.30 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2023 213 4 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 90.00 15.60 101.30 -999.00 1.70 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 1.50 3.90 -999.00
2023 213 5 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 89.00 16.00 101.30 -999.00 28.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 19.00 84.00 -999.00
2023 213 6 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 87.00 17.00 101.30 -999.00 86.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 53.00 187.00 -999.00
2023 213 7 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 82.00 18.20 101.30 -999.00 189.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 92.00 262.00 -999.00
2023 213 8 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 77.00 19.30 101.30 -999.00 296.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 128.00 332.00 -999.00
2023 213 9 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 73.00 20.20 101.30 -999.00 398.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 160.00 380.00 -999.00
2023 213 10 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 69.00 21.20 101.30 -999.00 478.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 184.00 407.00 -999.00
2023 213 11 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 66.00 21.80 101.30 -999.00 525.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 200.90 412.00 -999.00
2023 213 12 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 64.00 22.20 101.30 -999.00 538.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 206.00 410.00 -999.00
2023 213 13 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 63.00 22.50 101.30 -999.00 525.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 208.00 397.00 -999.00
2023 213 14 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 62.00 22.60 101.30 -999.00 479.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 192.00 383.00 -999.00
2023 213 15 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 62.00 22.50 101.30 -999.00 408.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 169.50 359.00 -999.00
2023 213 16 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 63.00 22.10 101.30 -999.00 321.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 138.00 333.00 -999.00
2023 213 17 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 66.00 21.50 101.30 -999.00 223.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 102.00 289.00 -999.00
2023 213 18 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 69.00 20.60 101.30 -999.00 127.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 65.00 224.00 -999.00
2023 213 19 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 74.00 19.40 101.30 -999.00 49.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 29.00 132.00 -999.00
2023 213 20 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 80.00 18.10 101.30 -999.00 6.70 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 5.00 33.00 -999.00
2023 213 21 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 83.00 17.20 101.30 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2023 213 22 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 86.00 16.60 101.30 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2023 213 23 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 86.00 16.80 101.30 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
