iy	id	it	imin	Q*	QH	QE	Qs	Qf	Wind	RH	Td	press	rain	Kdn	snow	ldown	fcld	wuh	xsmd	lai_hr	Kdiff	Kdir	Wd
2023	213	0	0	-999	-999	-999	-999	-999	-999	76	19.7	101.600	-999	0	-999	-999	-999	-999	-999	-999	0	0	-999
2023	213	1	0	-999	-999	-999	-999	-999	-999	77	19.2	101.600	-999	0	-999	-999	-999	-999	-999	-999	0	0	-999
2023	213	2	0	-999	-999	-999	-999	-999	-999	79	18.5	101.585	-999	0	-999	-999	-999	-999	-999	-999	0	0	-999
2023	213	3	0	-999	-999	-999	-999	-999	-999	80	17.9	101.510	-999	0	-999	-999	-999	-999	-999	-999	0	0	-999
2023	213	4	0	-999	-999	-999	-999	-999	-999	82	17.6	101.500	-999	0	-999	-999	-999	-999	-999	-999	0	0	-999
2023	213	5	0	-999	-999	-999	-999	-999	-999	82	17.2	101.500	-999	0	-999	-999	-999	-999	-999	-999	0	0	-999
2023	213	6	0	-999	-999	-999	-999	-999	-999	80	18.5	101.500	-999	46	-999	-999	-999	-999	-999	-999	24	205	-999
2023	213	7	0	-999	-999	-999	-999	-999	-999	72	21	101.500	-999	154	-999	-999	-999	-999	-999	-999	59	397	-999
2023	213	8	0	-999	-999	-999	-999	-999	-999	64	23.1	101.500	-999	287	-999	-999	-999	-999	-999	-999	85	543	-999
2023	213	9	0	-999	-999	-999	-999	-999	-999	56	25.2	101.500	-999	432	-999	-999	-999	-999	-999	-999	104	652	-999
2023	213	10	0	-999	-999	-999	-999	-999	-999	51	26.9	101.500	-999	564	-999	-999	-999	-999	-999	-999	117	717	-999
2023	213	11	0	-999	-999	-999	-999	-999	-999	45	28.5	101.500	-999	679	-999	-999	-999	-999	-999	-999	124	757	-999
2023	213	12	0	-999	-999	-999	-999	-999	-999	42	29.5	101.499	-999	750	-999	-999	-999	-999	-999	-999	131	787	-999
2023	213	13	0	-999	-999	-999	-999	-999	-999	39	30.3	101.400	-999	778	-999	-999	-999	-999	-999	-999	131	793	-999
2023	213	14	0	-999	-999	-999	-999	-999	-999	37	30.9	101.400	-999	764	-999	-999	-999	-999	-999	-999	130	786	-999
2023	213	15	0	-999	-999	-999	-999	-999	-999	36	31.2	101.335	-999	693	-999	-999	-999	-999	-999	-999	128	734	-999
2023	213	16	0	-999	-999	-999	-999	-999	-999	36	31.1	101.300	-999	585	-999	-999	-999	-999	-999	-999	123	685	-999
2023	213	17	0	-999	-999	-999	-999	-999	-999	36	30.7	101.300	-999	465	-999	-999	-999	-999	-999	-999	110	617	-999
2023	213	18	0	-999	-999	-999	-999	-999	-999	40	30	101.219	-999	318	-999	-999	-999	-999	-999	-999	93	516	-999
2023	213	19	0	-999	-999	-999	-999	-999	-999	45	28.7	101.300	-999	181	-999	-999	-999	-999	-999	-999	70	378	-999
2023	213	20	0	-999	-999	-999	-999	-999	-999	53	26.7	101.300	-999	73	-999	-999	-999	-999	-999	-999	41	199	-999
2023	213	21	0	-999	-999	-999	-999	-999	-999	62	24.2	101.300	-999	9	-999	-999	-999	-999	-999	-999	6	20	-999
2023	213	22	0	-999	-999	-999	-999	-999	-999	68	22.8	101.380	-999	0	-999	-999	-999	-999	-999	-999	0	0	-999
2023	213	23	0	-999	-999	-999	-999	-999	-999	72	21.5	101.400	-999	0	-999	-999	-999	-999	-999	-999	0	0	-999
