%iy id it imin   Q*      QH      QE      Qs      Qf    Wind    RH     Td     press   rain    Kdn    snow    ldown   fcld    wuh     xsmd    lai_hr  Kdiff   Kdir    Wd
2023 213 0 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 76.00 19.20 101.55 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2023 213 1 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 78.00 18.60 101.52 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2023 213 2 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 79.00 18.10 101.58 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2023 213 3 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 80.00 17.70 101.50 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2023 213 4 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 82.00 17.50 101.50 -999.00 2.70 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 2.20 9.90 -999.00
2023 213 5 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 79.00 18.50 101.50 -999.00 42.50 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 23.50 178.20 -999.00
2023 213 6 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 71.00 20.80 101.50 -999.00 144.20 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 57.20 377.69 -999.00
2023 213 7 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 64.00 23.10 101.49 -999.00 276.90 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 87.20 505.60 -999.00
2023 213 8 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 56.00 25.30 101.49 -999.00 419.80 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 108.60 604.30 -999.00
2023 213 9 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 51.00 27.10 101.48 -999.00 552.90 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 123.90 672.10 -999.00
2023 213 10 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 46.00 28.80 101.45 -999.00 661.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 133.90 716.80 -999.00
2023 213 11 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 42.00 29.90 101.42 -999.00 732.70 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 142.70 737.50 -999.00
2023 213 12 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 39.00 30.80 101.38 -999.00 759.70 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 145.60 742.50 -999.00
2023 213 13 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 37.00 31.30 101.35 -999.00 743.60 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 144.60 735.00 -999.00
2023 213 14 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 37.00 31.50 101.32 -999.00 670.80 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 141.60 692.80 -999.00
2023 213 15 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 37.00 31.30 101.30 -999.00 564.30 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 133.00 635.80 -999.00
2023 213 16 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 39.00 30.80 101.29 -999.00 441.20 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 118.40 571.80 -999.00
2023 213 17 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 41.80 29.80 101.26 -999.00 301.90 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 97.20 475.30 -999.00
2023 213 18 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 47.00 28.30 101.26 -999.00 171.80 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 70.00 355.10 -999.00
2023 213 19 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 55.00 28.70 101.27 -999.00 67.30 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 36.40 201.70 -999.00
2023 213 20 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 63.00 26.70 101.30 -999.00 9.30 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 6.70 51.80 -999.00
2023 213 21 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 68.00 24.20 101.32 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2023 213 22 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 71.00 22.80 101.32 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2023 213 23 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 74.00 21.50 101.60 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
