%iy  id  it imin   Q*      QH      QE      Qs      Qf    Wind    RH     Td     press   rain    Kdn    snow    ldown   fcld    wuh     xsmd    lai_hr  Kdiff   Kdir    Wd
2023 172 0 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 95.00 23.47 102.20 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2023 172 1 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 97.00 22.74 102.20 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2023 172 2 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 97.00 22.44 102.20 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2023 172 3 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 97.00 21.90 102.18 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2023 172 4 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 97.00 21.73 102.18 -999.00 9.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 7.00 40.00 -999.00
2023 172 5 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 95.00 22.43 102.18 -999.00 84.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 47.34 306.34 -999.00
2023 172 6 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 90.00 24.60 102.18 -999.00 210.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 92.68 494.00 -999.00
2023 172 7 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 82.00 26.20 102.19 -999.00 359.34 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 131.00 621.36 -999.00
2023 172 8 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 74.00 28.97 102.18 -999.00 510.02 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 165.68 713.34 -999.00
2023 172 9 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 67.00 31.17 102.17 -999.00 645.36 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 191.40 770.68 -999.00
2023 172 10 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 63.00 32.97 102.17 -999.00 753.02 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 229.76 809.00 -999.00
2023 172 11 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 58.00 34.37 102.10 -999.00 825.68 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 232.88 832.68 -999.00
2023 172 12 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 56.00 35.10 102.06 -999.00 851.68 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 239.36 845.34 -999.00
2023 172 13 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 54.00 35.67 102.00 -999.00 837.02 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 251.20 837.38 -999.00
2023 172 14 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 55.00 35.94 101.97 -999.00 779.02 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 223.38 825.68 -999.00
2023 172 15 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 61.00 36.24 101.94 -999.00 681.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 217.68 798.34 -999.00
2023 172 16 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 67.00 35.80 101.90 -999.00 552.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 191.34 747.68 -999.00
2023 172 17 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 74.00 34.37 101.85 -999.00 407.68 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 151.70 671.02 -999.00
2023 172 18 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 81.00 33.27 101.85 -999.00 256.34 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 112.06 552.04 -999.00
2023 172 19 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 87.00 30.84 101.87 -999.00 121.34 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 65.34 530.60 -999.00
2023 172 20 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 90.00 28.33 101.90 -999.00 26.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 16.00 380.04 -999.00
2023 172 21 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 91.00 26.84 101.91 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 190.06 -999.00
2023 172 22 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 93.00 25.67 101.91 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2023 172 23 0 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00000 94.00 24.00 102.23 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
