bounds,GT_AHNSUB
"(60000, 442500, 61000, 443750)",37AZ1_01
"(61000, 442500, 62000, 443750)",37AZ1_02
"(62000, 442500, 63000, 443750)",37AZ1_03
"(63000, 442500, 64000, 443750)",37AZ1_04
"(64000, 442500, 65000, 443750)",37AZ1_05
"(60000, 441250, 61000, 442500)",37AZ1_06
"(61000, 441250, 62000, 442500)",37AZ1_07
"(62000, 441250, 63000, 442500)",37AZ1_08
"(63000, 441250, 64000, 442500)",37AZ1_09
"(64000, 441250, 65000, 442500)",37AZ1_10
"(60000, 440000, 61000, 441250)",37AZ1_11
"(61000, 440000, 62000, 441250)",37AZ1_12
"(62000, 440000, 63000, 441250)",37AZ1_13
"(63000, 440000, 64000, 441250)",37AZ1_14
"(64000, 440000, 65000, 441250)",37AZ1_15
"(60000, 438750, 61000, 440000)",37AZ1_16
"(61000, 438750, 62000, 440000)",37AZ1_17
"(62000, 438750, 63000, 440000)",37AZ1_18
"(63000, 438750, 64000, 440000)",37AZ1_19
"(64000, 438750, 65000, 440000)",37AZ1_20
"(60000, 437500, 61000, 438750)",37AZ1_21
"(61000, 437500, 62000, 438750)",37AZ1_22
"(62000, 437500, 63000, 438750)",37AZ1_23
"(63000, 437500, 64000, 438750)",37AZ1_24
"(64000, 437500, 65000, 438750)",37AZ1_25
"(60000, 417500, 61000, 418750)",43AZ1_01
"(61000, 417500, 62000, 418750)",43AZ1_02
"(62000, 417500, 63000, 418750)",43AZ1_03
"(63000, 417500, 64000, 418750)",43AZ1_04
"(64000, 417500, 65000, 418750)",43AZ1_05
"(60000, 416250, 61000, 417500)",43AZ1_06
"(61000, 416250, 62000, 417500)",43AZ1_07
"(62000, 416250, 63000, 417500)",43AZ1_08
"(63000, 416250, 64000, 417500)",43AZ1_09
"(64000, 416250, 65000, 417500)",43AZ1_10
"(60000, 415000, 61000, 416250)",43AZ1_11
"(61000, 415000, 62000, 416250)",43AZ1_12
"(62000, 415000, 63000, 416250)",43AZ1_13
"(63000, 415000, 64000, 416250)",43AZ1_14
"(64000, 415000, 65000, 416250)",43AZ1_15
"(60000, 413750, 61000, 415000)",43AZ1_16
"(61000, 413750, 62000, 415000)",43AZ1_17
"(62000, 413750, 63000, 415000)",43AZ1_18
"(63000, 413750, 64000, 415000)",43AZ1_19
"(64000, 413750, 65000, 415000)",43AZ1_20
"(60000, 412500, 61000, 413750)",43AZ1_21
"(61000, 412500, 62000, 413750)",43AZ1_22
"(62000, 412500, 63000, 413750)",43AZ1_23
"(63000, 412500, 64000, 413750)",43AZ1_24
"(64000, 412500, 65000, 413750)",43AZ1_25
"(60000, 392500, 61000, 393750)",49AZ1_01
"(61000, 392500, 62000, 393750)",49AZ1_02
"(62000, 392500, 63000, 393750)",49AZ1_03
"(63000, 392500, 64000, 393750)",49AZ1_04
"(64000, 392500, 65000, 393750)",49AZ1_05
"(60000, 391250, 61000, 392500)",49AZ1_06
"(61000, 391250, 62000, 392500)",49AZ1_07
"(62000, 391250, 63000, 392500)",49AZ1_08
"(63000, 391250, 64000, 392500)",49AZ1_09
"(64000, 391250, 65000, 392500)",49AZ1_10
"(60000, 390000, 61000, 391250)",49AZ1_11
"(61000, 390000, 62000, 391250)",49AZ1_12
"(62000, 390000, 63000, 391250)",49AZ1_13
"(63000, 390000, 64000, 391250)",49AZ1_14
"(64000, 390000, 65000, 391250)",49AZ1_15
"(60000, 388750, 61000, 390000)",49AZ1_16
"(61000, 388750, 62000, 390000)",49AZ1_17
"(62000, 388750, 63000, 390000)",49AZ1_18
"(63000, 388750, 64000, 390000)",49AZ1_19
"(64000, 388750, 65000, 390000)",49AZ1_20
"(60000, 387500, 61000, 388750)",49AZ1_21
"(61000, 387500, 62000, 388750)",49AZ1_22
"(62000, 387500, 63000, 388750)",49AZ1_23
"(63000, 387500, 64000, 388750)",49AZ1_24
"(64000, 387500, 65000, 388750)",49AZ1_25
"(60000, 367500, 61000, 368750)",55AZ1_01
"(61000, 367500, 62000, 368750)",55AZ1_02
"(62000, 367500, 63000, 368750)",55AZ1_03
"(63000, 367500, 64000, 368750)",55AZ1_04
"(64000, 367500, 65000, 368750)",55AZ1_05
"(60000, 366250, 61000, 367500)",55AZ1_06
"(61000, 366250, 62000, 367500)",55AZ1_07
"(62000, 366250, 63000, 367500)",55AZ1_08
"(63000, 366250, 64000, 367500)",55AZ1_09
"(64000, 366250, 65000, 367500)",55AZ1_10
"(60000, 365000, 61000, 366250)",55AZ1_11
"(61000, 365000, 62000, 366250)",55AZ1_12
"(62000, 365000, 63000, 366250)",55AZ1_13
"(63000, 365000, 64000, 366250)",55AZ1_14
"(64000, 365000, 65000, 366250)",55AZ1_15
"(60000, 363750, 61000, 365000)",55AZ1_16
"(61000, 363750, 62000, 365000)",55AZ1_17
"(62000, 363750, 63000, 365000)",55AZ1_18
"(63000, 363750, 64000, 365000)",55AZ1_19
"(64000, 363750, 65000, 365000)",55AZ1_20
"(60000, 362500, 61000, 363750)",55AZ1_21
"(61000, 362500, 62000, 363750)",55AZ1_22
"(62000, 362500, 63000, 363750)",55AZ1_23
"(63000, 362500, 64000, 363750)",55AZ1_24
"(64000, 362500, 65000, 363750)",55AZ1_25
"(81000, 467500, 82000, 468750)",30EZ1_02
"(82000, 467500, 83000, 468750)",30EZ1_03
"(83000, 467500, 84000, 468750)",30EZ1_04
"(84000, 467500, 85000, 468750)",30EZ1_05
"(81000, 466250, 82000, 467500)",30EZ1_07
"(82000, 466250, 83000, 467500)",30EZ1_08
"(83000, 466250, 84000, 467500)",30EZ1_09
"(84000, 466250, 85000, 467500)",30EZ1_10
"(81000, 465000, 82000, 466250)",30EZ1_12
"(82000, 465000, 83000, 466250)",30EZ1_13
"(83000, 465000, 84000, 466250)",30EZ1_14
"(84000, 465000, 85000, 466250)",30EZ1_15
"(81000, 463750, 82000, 465000)",30EZ1_17
"(82000, 463750, 83000, 465000)",30EZ1_18
"(83000, 463750, 84000, 465000)",30EZ1_19
"(84000, 463750, 85000, 465000)",30EZ1_20
"(80000, 462500, 81000, 463750)",30EZ1_21
"(81000, 462500, 82000, 463750)",30EZ1_22
"(82000, 462500, 83000, 463750)",30EZ1_23
"(83000, 462500, 84000, 463750)",30EZ1_24
"(84000, 462500, 85000, 463750)",30EZ1_25
"(80000, 442500, 81000, 443750)",37EZ1_01
"(81000, 442500, 82000, 443750)",37EZ1_02
"(82000, 442500, 83000, 443750)",37EZ1_03
"(83000, 442500, 84000, 443750)",37EZ1_04
"(84000, 442500, 85000, 443750)",37EZ1_05
"(80000, 441250, 81000, 442500)",37EZ1_06
"(81000, 441250, 82000, 442500)",37EZ1_07
"(82000, 441250, 83000, 442500)",37EZ1_08
"(83000, 441250, 84000, 442500)",37EZ1_09
"(84000, 441250, 85000, 442500)",37EZ1_10
"(80000, 440000, 81000, 441250)",37EZ1_11
"(81000, 440000, 82000, 441250)",37EZ1_12
"(82000, 440000, 83000, 441250)",37EZ1_13
"(83000, 440000, 84000, 441250)",37EZ1_14
"(84000, 440000, 85000, 441250)",37EZ1_15
"(80000, 438750, 81000, 440000)",37EZ1_16
"(81000, 438750, 82000, 440000)",37EZ1_17
"(82000, 438750, 83000, 440000)",37EZ1_18
"(83000, 438750, 84000, 440000)",37EZ1_19
"(84000, 438750, 85000, 440000)",37EZ1_20
"(80000, 437500, 81000, 438750)",37EZ1_21
"(81000, 437500, 82000, 438750)",37EZ1_22
"(82000, 437500, 83000, 438750)",37EZ1_23
"(83000, 437500, 84000, 438750)",37EZ1_24
"(84000, 437500, 85000, 438750)",37EZ1_25
"(80000, 417500, 81000, 418750)",43EZ1_01
"(81000, 417500, 82000, 418750)",43EZ1_02
"(82000, 417500, 83000, 418750)",43EZ1_03
"(83000, 417500, 84000, 418750)",43EZ1_04
"(84000, 417500, 85000, 418750)",43EZ1_05
"(80000, 416250, 81000, 417500)",43EZ1_06
"(81000, 416250, 82000, 417500)",43EZ1_07
"(82000, 416250, 83000, 417500)",43EZ1_08
"(83000, 416250, 84000, 417500)",43EZ1_09
"(84000, 416250, 85000, 417500)",43EZ1_10
"(80000, 415000, 81000, 416250)",43EZ1_11
"(81000, 415000, 82000, 416250)",43EZ1_12
"(82000, 415000, 83000, 416250)",43EZ1_13
"(83000, 415000, 84000, 416250)",43EZ1_14
"(84000, 415000, 85000, 416250)",43EZ1_15
"(80000, 413750, 81000, 415000)",43EZ1_16
"(81000, 413750, 82000, 415000)",43EZ1_17
"(82000, 413750, 83000, 415000)",43EZ1_18
"(83000, 413750, 84000, 415000)",43EZ1_19
"(84000, 413750, 85000, 415000)",43EZ1_20
"(80000, 412500, 81000, 413750)",43EZ1_21
"(81000, 412500, 82000, 413750)",43EZ1_22
"(82000, 412500, 83000, 413750)",43EZ1_23
"(83000, 412500, 84000, 413750)",43EZ1_24
"(84000, 412500, 85000, 413750)",43EZ1_25
"(80000, 392500, 81000, 393750)",49EZ1_01
"(81000, 392500, 82000, 393750)",49EZ1_02
"(82000, 392500, 83000, 393750)",49EZ1_03
"(83000, 392500, 84000, 393750)",49EZ1_04
"(84000, 392500, 85000, 393750)",49EZ1_05
"(80000, 391250, 81000, 392500)",49EZ1_06
"(81000, 391250, 82000, 392500)",49EZ1_07
"(82000, 391250, 83000, 392500)",49EZ1_08
"(83000, 391250, 84000, 392500)",49EZ1_09
"(84000, 391250, 85000, 392500)",49EZ1_10
"(80000, 390000, 81000, 391250)",49EZ1_11
"(81000, 390000, 82000, 391250)",49EZ1_12
"(82000, 390000, 83000, 391250)",49EZ1_13
"(83000, 390000, 84000, 391250)",49EZ1_14
"(84000, 390000, 85000, 391250)",49EZ1_15
"(80000, 388750, 81000, 390000)",49EZ1_16
"(81000, 388750, 82000, 390000)",49EZ1_17
"(82000, 388750, 83000, 390000)",49EZ1_18
"(83000, 388750, 84000, 390000)",49EZ1_19
"(84000, 388750, 85000, 390000)",49EZ1_20
"(80000, 387500, 81000, 388750)",49EZ1_21
"(81000, 387500, 82000, 388750)",49EZ1_22
"(82000, 387500, 83000, 388750)",49EZ1_23
"(83000, 387500, 84000, 388750)",49EZ1_24
"(84000, 387500, 85000, 388750)",49EZ1_25
"(80000, 367500, 81000, 368750)",55EZ1_01
"(81000, 367500, 82000, 368750)",55EZ1_02
"(82000, 367500, 83000, 368750)",55EZ1_03
"(83000, 367500, 84000, 368750)",55EZ1_04
"(84000, 367500, 85000, 368750)",55EZ1_05
"(80000, 366250, 81000, 367500)",55EZ1_06
"(81000, 366250, 82000, 367500)",55EZ1_07
"(82000, 366250, 83000, 367500)",55EZ1_08
"(83000, 366250, 84000, 367500)",55EZ1_09
"(84000, 366250, 85000, 367500)",55EZ1_10
"(80000, 365000, 81000, 366250)",55EZ1_11
"(81000, 365000, 82000, 366250)",55EZ1_12
"(82000, 365000, 83000, 366250)",55EZ1_13
"(83000, 365000, 84000, 366250)",55EZ1_14
"(84000, 365000, 85000, 366250)",55EZ1_15
"(80000, 363750, 81000, 365000)",55EZ1_16
"(81000, 363750, 82000, 365000)",55EZ1_17
